"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C41, C42";"C_0805_2012Metric";3;"0.1 uF";;;
2;"C2, C3, C4, C6, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C45, C46, C47";"C_0805_2012Metric";40;"0.01 uF";;;
3;"C5, C7";"CP_Radial_D10.0mm_P5.00mm";2;"4.7 uF 50V";;;
4;"C43, C44";"C_1210_3225Metric";2;"22 uF";;;
5;"D1, D2, D3, D35, D36, D37, D38";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"LED";;;
6;"D4";"D_SOD-123";1;"1N4148W";;;
7;"J0";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
8;"J1";"PinHeader_1x20_P2.54mm_Horizontal";1;"Conn_01x20_Pin";;;
9;"J1-VGAOut1";"DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm";1;"DE15_Socket_HighDensity";;;
10;"J2_RGBS_Out1, J3";"PinHeader_1x09_P2.54mm_Horizontal";2;"Conn_01x09_Pin";;;
11;"J3_DOT1";"PinHeader_1x10_P2.54mm_Horizontal_mirrored";1;"Conn_01x10_Pin";;;
12;"J4";"PinHeader_1x19_P2.54mm_Horizontal";1;"Conn_01x19_Pin";;;
13;"J5";"PinHeader_1x23_P2.54mm_Horizontal";1;"Conn_01x23_Pin";;;
14;"J6";"PinHeader_1x10_P2.54mm_Horizontal";1;"Conn_01x10_Pin";;;
15;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"15 kHz Select";;;
16;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Composite Sync Select";;;
17;"JP3";"PinHeader_1x02_P2.54mm_Vertical";1;"Vertical Sync Inactive select";;;
18;"L1, L2";"L_Bourns_SRR1260";2;"3.3 uH";;;
19;"R1, R2, R3, R4, R5, R10, R11, R12, R13, R95, R98, R101";"R_0805_2012Metric";12;"1k";;;
20;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k ohm";;;
21;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"510 ohm";;;
22;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220 ohm";;;
23;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
24;"R92, R93";"R_0805_2012Metric";2;"100";;;
25;"R94, R97, R100";"R_0805_2012Metric";3;"510";;;
26;"R96, R99, R102";"R_0805_2012Metric";3;"2k";;;
27;"R103";"R_0805_2012Metric";1;"10k";;;
28;"RN1, RN2, RN3, RN4, RN5, RN6";"R_Array_SIP9";6;"4.7k ohm";;;
29;"RN7, RN8, RN9, RN10, RN11, RN12, RN13, RN14";"R_Array_Convex_4x0603";8;"1K Ohm";;;
30;"SW1, SW2";"SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm";2;"SW_DIP_x08";;;
31;"SW4";"SW_SPDT_CK_JS102011SAQN";1;"Service";;;
32;"TP1";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"+12V Input";;;
33;"TP2";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"+3.3V Power";;;
34;"TP3";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"+5V Power";;;
35;"TP4";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"Gnd";;;
36;"TP5";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"In_Clk";;;
37;"TP6";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"IN_LOAD_N";;;
38;"TP7";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"VID_HS";;;
39;"TP8";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"VID_VS";;;
40;"TP9";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"GND";;;
41;"U1, U2, U3, U4, U6, U7";"SOIC-16_3.9x9.9mm_P1.27mm";6;"74AHC165";;;
42;"U5, U15, U16, U17, U18, U19, U22, U23";"SOT-23-6";8;"SRV05-4";;;
43;"U8, U9";"SOIC-16_3.9x9.9mm_P1.27mm";2;"74HC595";;;
44;"U10, U11";"SOIC-18W_7.5x11.6mm_P1.27mm";2;"ULN2803CDWR";;;
45;"U12, U13";"TSSOP-14_4.4x5mm_P0.65mm";2;"THS7374";;;
46;"U14";"TSSOP-16_4.4x5mm_P0.65mm";1;"ADS7830";;;
47;"U24";"Converter_DCDC_RECOM_R-78B-2.0_THT";1;"R-78B5.0-2.0";;;
48;"U25";"Converter_DCDC_RECOM_R-78B-2.0_THT";1;"R-78B3.3-2.0";;;
